day,microcosm,species,species.number,weight.1,weight.2,weight.3 ,weight.4,weight.5,count
3,15,colpidium,1,0.328,1.3637,0.2421,1,1,75
3,15,tetrahymena,2,0.328,1.3637,0.2421,1,1,58
3,16,loxocephallus,1,0.3095,1.0811,0.2386,2.0833,0.2706,27
3,16,paramecium,2,0.3095,1.0811,0.2386,1,1,7
3,17,loxocephallus,1,0.2888,2.7662,0.2599,0.9204,0.1969,30
3,17,tetrahymena,2,0.2888,2.7662,0.2599,0.9204,0.1969,26
3,18,paramecium,1,0.3536,2.3208,0.2075,1,1,10
3,18,tetrahymena,2,0.3536,2.3208,0.2075,1,1,51
3,25,colpidium,1,0.2768,1.5284,0.2408,1,1,27
3,25,loxocephallus,2,0.2768,1.5284,0.2408,0.8669,0.2765,25
3,26,colpidium,1,0.3466,0.8442,0.2489,1,1,47
3,26,paramecium,2,0.3466,0.8442,0.2489,1,1,20
3,27,colpidium,1,0.3206,2.2386,0.2091,1,1,32
3,27,tetrahymena,2,0.3206,2.2386,0.2091,1,1,53
3,28,loxocephallus,1,0.2908,1.451,0.2921,0.8855,0.2253,43
3,28,paramecium,2,0.2908,1.451,0.2921,1,1,10
3,29,loxocephallus,1,0.2477,2.7625,0.2558,1,1,52
3,29,tetrahymena,2,0.2477,2.7625,0.2558,1,1,49
3,30,paramecium,1,0.3138,1.4669,0.2787,1,1,14
3,30,tetrahymena,2,0.3138,1.4669,0.2787,1.086,0.2117,17
3,31,colpidium,1,0.3177,2.3482,0.3274,1,1,38
3,31,loxocephallus,2,0.3177,2.3482,0.3274,1,1,51
3,32,colpidium,1,0.357,1.3321,0.3416,1,1,58
3,32,paramecium,2,0.357,1.3321,0.3416,1,1,20
3,33,colpidium,1,0.3162,0.6315,0.3363,1,1,100
3,33,tetrahymena,2,0.3162,0.6315,0.3363,1,1,71
3,34,loxocephallus,1,0.3535,0.7781,0.3637,1.8082,0.3629,75
3,34,paramecium,2,0.3535,0.7781,0.3637,1,1,50
3,35,loxocephallus,1,0.35,2.7809,0.3251,1.2164,0.4001,59
3,35,tetrahymena,2,0.35,2.7809,0.3251,1.2164,0.4001,46
3,36,paramecium,1,0.3189,1.718,0.3071,1,1,23
3,36,tetrahymena,2,0.3189,1.718,0.3071,0.7658,0.327,38
3,37,colpidium,1,0.2159,1.3415,0.2694,1,1,25
3,37,loxocephallus,2,0.2159,1.3415,0.2694,1,1,40
3,38,colpidium,1,0.2771,0.8068,0.257,1,1,55
3,38,paramecium,2,0.2771,0.8068,0.257,1,1,12
3,39,colpidium,1,0.3223,2.1733,0.2369,1,1,24
3,39,tetrahymena,2,0.3223,2.1733,0.2369,1,1,45
3,40,loxocephallus,1,0.2829,1.2936,0.3386,0.9447,0.3127,65
3,40,paramecium,2,0.2829,1.2936,0.3386,1,1,11
3,41,loxocephallus,1,0.3068,2.4153,0.3305,1.1408,0.3311,18
3,41,tetrahymena,2,0.3068,2.4153,0.3305,1.1408,0.3311,38
3,42,paramecium,1,0.3265,1.8717,0.2918,1,1,15
3,42,tetrahymena,2,0.3265,1.8717,0.2918,1.0767,0.3397,25
3,43,colpidium,1,0.3636,2.2287,0.3218,1,1,38
3,43,loxocephallus,2,0.3636,2.2287,0.3218,1,1,83
3,44,colpidium,1,0.2935,1.4729,0.3082,1,1,47
3,44,paramecium,2,0.2935,1.4729,0.3082,1,1,11
3,45,colpidium,1,0.2977,0.9834,0.3278,1,1,72
3,45,tetrahymena,2,0.2977,0.9834,0.3278,1.6445,0.2868,72
3,46,loxocephallus,1,0.2949,0.8754,0.2839,1.6591,0.2617,24
3,46,paramecium,2,0.2949,0.8754,0.2839,1,1,24
3,47,loxocephallus,1,0.3174,3.3716,0.3069,1.4057,0.269,17
3,47,tetrahymena,2,0.3174,3.3716,0.3069,1.4057,0.269,30
3,48,paramecium,1,0.2839,1.2264,0.2656,1,1,14
3,48,tetrahymena,2,0.2839,1.2264,0.2656,1.0187,0.2599,48
3,49,colpidium,1,0.2962,1.8744,0.3489,0.6177,0.3042,29
3,49,loxocephallus,2,0.2962,1.8744,0.3489,0.6177,0.3042,88
3,50,colpidium,1,0.3277,0.7213,0.2707,0.967,0.3162,22
3,50,paramecium,2,0.3277,0.7213,0.2707,1,1,17
3,51,colpidium,1,0.2888,0.9121,0.2876,1,1,25
3,51,tetrahymena,2,0.2888,0.9121,0.2876,0.8643,0.2624,70
3,52,loxocephallus,1,0.2941,0.8253,0.2702,2.4152,0.3521,48
3,52,paramecium,2,0.2941,0.8253,0.2702,1,1,21
3,53,loxocephallus,1,0.308,3.3194,0.285,0.9524,0.3281,20
3,53,tetrahymena,2,0.308,3.3194,0.285,0.9524,0.3281,39
3,54,paramecium,1,0.2683,1.6269,0.3151,1,1,15
3,54,tetrahymena,2,0.2683,1.6269,0.3151,0.8311,0.2951,48
5,1,colpidium,1,0.3296,1.9226,0.3441,1,1,42
5,1,loxocephallus,2,0.3296,1.9226,0.3441,1,1,76
5,2,colpidium,1,0.3027,0.8716,0.3818,1,1,58
5,2,paramecium,2,0.3027,0.8716,0.3818,1,1,11
5,3,colpidium,1,0.3358,3.0201,0.3184,1,1,31
5,3,tetrahymena,2,0.3358,3.0201,0.3184,1,1,50
5,4,loxocephallus,1,0.2877,0.8848,0.2436,1.0849,0.2828,71
5,4,paramecium,2,0.2877,0.8848,0.2436,1,1,20
5,5,loxocephallus,1,0.3489,2.3454,0.3041,1,1,89
5,5,tetrahymena,2,0.3489,2.3454,0.3041,1,1,35
5,6,paramecium,1,0.3104,0.8122,0.2735,1,1,23
5,6,tetrahymena,2,0.3104,0.8122,0.2735,1.1856,0.2974,26
5,7,colpidium,1,0.3398,2.4853,0.2777,1,1,29
5,7,loxocephallus,2,0.3398,2.4853,0.2777,1,1,55
5,8,colpidium,1,0.3185,1.4721,0.3367,1,1,50
5,8,paramecium,2,0.3185,1,1,1,1,42
5,9,colpidium,1,0.2986,2.5143,0.3373,1,1,45
5,9,tetrahymena,2,0.2986,2.5143,0.3373,1,1,32
5,10,loxocephallus,1,0.3164,1.0664,0.3333,0.8596,0.3219,50
5,10,paramecium,2,0.3164,1.0664,0.3333,1,1,22
5,11,loxocephallus,1,0.3035,2.7857,0.3258,1.6864,0.2997,21
5,11,tetrahymena,2,0.3035,2.7857,0.3258,1.6864,0.2997,21
5,12,paramecium,1,0.3171,1.6409,0.3421,1,1,15
5,12,tetrahymena,2,0.3171,1.6409,0.3421,1,1,49
5,13,colpidium,1,0.3176,1.7822,0.3158,1,1,38
5,13,loxocephallus,2,0.3176,1.7822,0.3158,1,1,64
5,14,colpidium,1,0.3208,0.7207,0.3292,1.0877,0.3415,33
5,14,paramecium,2,0.3208,0.7207,0.3292,1,1,14
5,15,colpidium,1,0.3636,1.6185,0.3086,1,1,68
5,15,tetrahymena,2,0.3636,1.6185,0.3086,1,1,54
5,16,loxocephallus,1,0.3553,0.9819,0.3323,1.1008,0.3387,95
5,16,paramecium,2,0.3553,0.9819,0.3323,1,1,20
5,17,loxocephallus,1,0.347,1.7092,0.3746,1.7039,0.3018,32
5,17,tetrahymena,2,0.347,1.7092,0.3746,1.7039,0.3018,38
5,18,paramecium,1,0.3279,1.0384,0.31,1,1,16
5,18,tetrahymena,2,0.3279,1.0384,0.31,1.2654,0.2904,64
5,19,colpidium,1,0.3609,2.0637,0.3157,1.363,0.3662,23
5,19,loxocephallus,2,0.3609,2.0637,0.3157,1.363,0.3662,33
5,20,colpidium,1,0.3507,1.1101,0.3228,1,1,62
5,20,paramecium,2,0.3507,1.1101,0.3228,1,1,29
5,21,colpidium,1,0.3047,2.5406,0.3332,1,1,59
5,21,tetrahymena,2,0.3047,2.5406,0.3332,1,1,36
5,22,loxocephallus,1,0.3578,0.8709,0.3291,1.5871,0.2685,62
5,22,paramecium,2,0.3578,0.8709,0.3291,1,1,19
5,23,loxocephallus,1,0.2973,2.6898,0.324,1,1,80
5,23,tetrahymena,2,0.2973,2.6898,0.324,1,1,45
5,24,paramecium,1,0.3227,2.5532,0.3001,1,1,10
5,24,tetrahymena,2,0.3227,2.5532,0.3001,1.1177,0.3137,23
5,25,colpidium,1,0.3448,1.9453,0.4225,0.5256,0.3137,33
5,25,loxocephallus,2,0.3448,1.9453,0.4225,0.5256,0.3137,29
5,26,colpidium,1,0.3146,0.6804,0.3086,1,1,82
5,26,paramecium,2,0.3146,0.6804,0.3086,1,1,9
5,27,colpidium,1,0.3264,1.7386,0.3238,1,1,48
5,27,tetrahymena,2,0.3264,1.7386,0.3238,1.6142,0.317,31
5,28,loxocephallus,1,0.277,0.5338,0.288,1.7464,0.3226,67
5,28,paramecium,2,0.277,0.5338,0.288,1,1,23
5,29,loxocephallus,1,0.3292,2.8095,0.3167,1.9843,0.3403,19
5,29,tetrahymena,2,0.3292,2.8095,0.3167,1.9843,0.3403,25
5,30,paramecium,1,0.2954,1.1052,0.349,1,1,19
5,30,tetrahymena,2,0.2954,1.1052,0.349,1.6916,0.3255,47
5,31,colpidium,1,0.302,2.4137,0.3256,1,1,30
5,31,loxocephallus,2,0.302,2.4137,0.3256,1.0624,0.3302,30
5,32,colpidium,1,0.3063,0.7858,0.3307,1,1,57
5,32,paramecium,2,0.3063,0.7858,0.3307,1,1,21
5,33,colpidium,1,0.3401,2.4514,0.3039,1,1,35
5,33,tetrahymena,2,0.3401,2.4514,0.3039,1,1,35
5,34,loxocephallus,1,0.3076,0.8164,0.2959,2.0153,0.2966,49
5,34,paramecium,2,0.3076,0.8164,0.2959,1,1,14
5,35,loxocephallus,1,0.2998,2.4628,0.3693,2.3435,0.2965,17
5,35,tetrahymena,2,0.2998,2.4628,0.3696,2.3435,0.2965,19
